	Bloque	¿Está en tu archivo?
0-A	Especificación Global de Eficiencia	[ ]
0-B	Prompt #11 - Separación Lógica/Visual	[ ]
1	Prompt #0 - Diagnóstico Backend	[ ]
2	Prompt #1 - Arquitectura Frontend	[ ]
3	Prompt #10 - Checklist .env	[ ]
4	Prompt #9 - Configuración .env	[ ]
5	Prompt #8 - Sistema Visual	[ ]
6	Prompt #2 - Tarjetas Producto	[ ]
7	Prompt #3 - Detalle Producto	[ ]
8	Prompt #5 - Checkout Stripe (opcional)	[ ]
9	Prompt #4 - Banner Cookies	[ ]
10	Prompt #6 - Panel Privacidad	[ ]
11	Prompt #7 - Auditoría Cliente	[ ]
